outcome,feature,feat_label,log2fc,pval,qval,sig,mean_pos,mean_neg
CLAD,Rad_10,CT radiomics,,0.6555860247912016,0.8760796608320904,,0.19811489,-0.20592377
CLAD,Rad_11,CT radiomics,,0.7909517874522562,0.9199113180151242,,0.1188036,-0.06661479
CLAD,Rad_12,CT radiomics,,0.8022179446524388,0.9209368348470472,,-0.07603596,0.11044822
CLAD,Rad_13,CT radiomics,,0.27105241895545673,0.5425011151597637,,0.2435372,-0.16996646
CLAD,Rad_14,CT radiomics,,0.06502335238948716,0.4817681565847966,,-0.65165454,0.12347958
CLAD,Rad_15,CT radiomics,,0.4825620924665541,0.7653191993063201,,-0.60053146,0.18863015
CLAD,Rad_16,CT radiomics,,0.8505633689032672,0.922587830959443,,0.4260031,-0.17877786
CLAD,Rad_17,CT radiomics,,0.8888212419532427,0.9233385717378347,,-0.35395107,0.2571889
CLAD,Rad_18,CT radiomics,,0.5696496545258658,0.8273693245796462,,-0.666265,0.14717375
CLAD,Rad_19,CT radiomics,,0.7067400537849999,0.8760796608320904,,0.12543741,-0.034922782
CLAD,Rad_20,CT radiomics,1.0062356,0.7505993062096377,0.8825728105981454,,0.15336311,0.07635037
CLAD,Rad_21,CT radiomics,,0.9326946650855004,0.9414936713598919,,-0.4631086,0.16799617
CLAD,Rad_22,CT radiomics,,0.16761337391301168,0.5411549020804255,,-0.6685566,0.17519017
CLAD,Rad_23,CT radiomics,,0.05942454288852996,0.4817681565847966,,-0.61631644,0.15185036
CLAD,Rad_24,CT radiomics,,0.4935312155757662,0.7653310154580723,,-0.4165703,-0.033883143
CLAD,Rad_25,CT radiomics,1.4813318,0.736889434344749,0.8760796608320904,,0.20148319,0.07216226
CLAD,Rad_26,CT radiomics,,0.5877495076793428,0.8273693245796462,,-0.57422584,0.14516547
CLAD,Rad_27,CT radiomics,,0.14054834874690267,0.5411549020804255,,0.7039688,-0.17899545
CLAD,Rad_28,CT radiomics,,0.3943870838927228,0.6806357738148604,,0.53514874,-0.130539
CLAD,Rad_29,CT radiomics,,0.8505633689032672,0.922587830959443,,0.4260031,-0.17877786
CLAD,Rad_30,CT radiomics,,0.8586181182689921,0.922587830959443,,0.38991702,-0.22301272
CLAD,Rad_31,CT radiomics,,0.681038434786041,0.8760796608320904,,-0.2975508,0.16635017
CLAD,Rad_32,CT radiomics,-4.349698,0.07338990844051411,0.4817681565847966,,0.0018491073,0.03772035
CLAD,Rad_33,CT radiomics,0.23953533,0.9128227932350541,0.9302098940585789,,0.07222868,0.061178792
CLAD,Rad_34,CT radiomics,1.4164349,0.07362212852597737,0.4817681565847966,,0.26376933,0.098817036
CLAD,Rad_35,CT radiomics,,0.8090473128562845,0.9209368348470472,,-0.36597198,0.13278612
CLAD,Rad_36,CT radiomics,0.068151236,0.06852822945418631,0.4817681565847966,,0.32597765,0.3109365
CLAD,Rad_37,CT radiomics,,0.08649121467015554,0.4817681565847966,,-0.68383056,-0.13876054
CLAD,Rad_38,CT radiomics,-0.11268389,0.1491239175060386,0.5411549020804255,,0.3116993,0.33702096
CLAD,Rad_39,CT radiomics,-0.1262759,0.27378560951988073,0.5425011151597637,,0.28341657,0.30934143
CLAD,Rad_40,CT radiomics,0.515025,0.0826738405178489,0.4817681565847966,,0.41059005,0.2873229
CLAD,Rad_41,CT radiomics,,0.33852855733182863,0.6105765426674952,,-0.24561818,-0.29704684
CLAD,Rad_42,CT radiomics,,0.3480856925487589,0.6105765426674952,,-0.22701433,-0.29259494
CLAD,Rad_43,CT radiomics,,0.09426822442457367,0.4817681565847966,,-0.14398016,-0.08543325
CLAD,Rad_44,CT radiomics,,0.13912813334411625,0.5411549020804255,,-0.053147726,-0.17003441
CLAD,Rad_45,CT radiomics,3.0750499,0.026970014643485807,0.4817681565847966,,1.0270795,0.12187632
CLAD,Rad_46,CT radiomics,,0.1516263725923149,0.5411549020804255,,-0.54987794,-0.13993391
CLAD,Rad_47,CT radiomics,,0.3008772809062714,0.5648047202977377,,-0.09356717,-0.3465634
CLAD,Rad_48,CT radiomics,,0.5862034814140037,0.8273693245796462,,-0.06078617,0.12897804
CLAD,Rad_49,CT radiomics,,0.6907090478545603,0.8760796608320904,,0.19934772,-0.19079171
CLAD,Rad_50,CT radiomics,,0.8702224396341143,0.922587830959443,,-0.09940854,0.2878651
CLAD,Rad_51,CT radiomics,,0.033840894352161886,0.4817681565847966,,-0.7052959,-0.16631481
CLAD,Rad_52,CT radiomics,,0.2642671247072065,0.5425011151597637,,-0.12632635,-0.1884201
CLAD,Rad_53,CT radiomics,,0.5862034814140037,0.8273693245796462,,-0.06078617,0.12897804
CLAD,Rad_54,CT radiomics,,0.8708539338962966,0.922587830959443,,-0.40942833,0.23502168
CLAD,Rad_55,CT radiomics,,0.7198996136530948,0.8760796608320904,,-0.30667228,0.16612361
CLAD,Rad_56,CT radiomics,,0.9090071330443229,0.9302098940585789,,0.39089447,-0.19070998
CLAD,Rad_57,CT radiomics,,0.8292457020847522,0.922587830959443,,0.4506911,-0.22969641
CLAD,Rad_58,CT radiomics,,0.6716539315234129,0.8760796608320904,,-0.16834062,0.16491441
CLAD,Rad_59,CT radiomics,-0.99963474,0.14386153037602553,0.5411549020804255,,0.019265672,0.03852254
CLAD,Rad_60,CT radiomics,,0.22174131279511677,0.5411549020804255,,-0.32611898,-0.16691576
CLAD,Rad_61,CT radiomics,,0.0258810243075865,0.4817681565847966,,-0.1603887,0.04058075
CLAD,Rad_62,CT radiomics,,0.471726815068651,0.7647692304900857,,0.049462494,-0.13801132
CLAD,Rad_63,CT radiomics,,0.20316002606731465,0.5411549020804255,,0.08330557,-0.1536022
CLAD,Rad_64,CT radiomics,,0.2616678729973966,0.5425011151597637,,-0.6797433,0.17537442
CLAD,Rad_65,CT radiomics,,0.5178349055253407,0.7851010155018527,,0.31916496,-0.060344968
CLAD,Rad_66,CT radiomics,-0.77153933,0.3428367973361879,0.6105765426674952,,0.16835359,0.2873957
CLAD,Rad_67,CT radiomics,0.05771303,0.25451092028652555,0.5425011151597637,,0.26407596,0.2537202
CLAD,Rad_68,CT radiomics,,0.18015032720584734,0.5411549020804255,,-0.41139245,-0.12714776
CLAD,Rad_69,CT radiomics,-0.8064276,0.29529122864158297,0.5642171690115961,,0.15463722,0.27044174
CLAD,Rad_70,CT radiomics,-0.28502274,0.20412985923748628,0.5411549020804255,,0.03357647,0.040910788
