gene,cell_type,log2fc,pval,padj
GBP1,TRAM-3,3.581084593162383,0.03500160966227295,0.960451064784517
AC099063.4,TRAM-3,3.4442111684493297,0.09381990933147233,0.960451064784517
GBP5,TRAM-3,3.194604887736636,0.06541329305598945,0.960451064784517
TGFBR3,TRAM-3,2.64110557875869,0.39813209037821506,0.960451064784517
GFI1,TRAM-3,1.9092480542668984,0.28937607733195325,0.960451064784517
CDC14A,TRAM-3,1.3337268344440085,0.39262175014765865,0.960451064784517
VCAM1,TRAM-3,1.9475325801058643,0.5906377230083384,0.960451064784517
AL109741.1,TRAM-3,-1.875741897037854,0.026285452074960008,0.960451064784517
S1PR1,TRAM-3,-2.9862352287343965,0.5239047473791878,0.960451064784517
AL356488.2,TRAM-3,0.73607887315434,0.5797026569026158,0.960451064784517
C1orf194,TRAM-3,-0.41758418138919046,0.44292451990378645,0.960451064784517
KIAA1324,TRAM-3,6.406154378322858,0.0281346818448663,0.960451064784517
CSF1,TRAM-3,2.259877866278098,0.14358836585681256,0.960451064784517
PIFO,TRAM-3,2.721424743270428,0.15002820149605137,0.960451064784517
PTPN22,TRAM-3,2.63931251773165,0.0984399022310105,0.960451064784517
TSPAN2,TRAM-3,-1.6795993748592315,0.4131250317516646,0.960451064784517
CD2,TRAM-3,3.9640102483992106,0.09458071806278237,0.960451064784517
TENT5C,TRAM-3,2.85474697664513,0.19964530985028817,0.960451064784517
AC253572.2,TRAM-3,2.905429571229393,0.2541130272331259,0.960451064784517
AC246785.3,TRAM-3,-1.6113741315519519,0.3397869333207021,0.960451064784517
AC245014.3,TRAM-3,1.7057146601817665,0.7035920798135848,0.960451064784517
CD160,TRAM-3,4.049243519019849,0.11832073961371238,0.960451064784517
ANKRD34A,TRAM-3,1.7939093909926525,0.2575178811334483,0.960451064784517
AC245407.2,TRAM-3,0.6163019595910443,0.8641290516112132,0.9687697372719599
PPIAL4G,TRAM-3,0.01895815770388447,0.8224996274429112,0.960451064784517
SV2A,TRAM-3,1.5384199147841258,0.5157012744310987,0.960451064784517
OTUD7B,TRAM-3,2.5150355009993577,0.1185166387059972,0.960451064784517
PLEKHO1,TRAM-3,2.6714354189240557,0.08390262942383572,0.960451064784517
MLLT11,TRAM-3,1.1704780336263718,0.41302095764699676,0.960451064784517
RORC,TRAM-3,0.7092206036833019,0.7494383054591964,0.960451064784517
C2CD4D,TRAM-3,0.5618788876081148,0.7938709848985264,0.960451064784517
S100A9,TRAM-3,2.8736308356655074,0.06153846153846154,0.960451064784517
S100A12,TRAM-3,0.9155158422228158,0.9492956161440683,0.982900476162627
S100A8,TRAM-3,3.7692462021596422,0.03461538461538462,0.960451064784517
S100A1,TRAM-3,3.316369009429397,0.1148734601372478,0.960451064784517
RPS27,TRAM-3,2.304617105496006,0.16250000000000003,0.960451064784517
ATP8B2,TRAM-3,1.0744991226135905,0.7430518509292982,0.960451064784517
AL451085.1,TRAM-3,2.4020984435713455,0.3791934009286798,0.960451064784517
PBXIP1,TRAM-3,1.8636644748321884,0.16556958035586422,0.960451064784517
AL451085.2,TRAM-3,1.4122345159978829,0.351065722033421,0.960451064784517
TRIM46,TRAM-3,1.1632455646826052,0.6052623349723398,0.960451064784517
MUC1,TRAM-3,0.8322202703892445,0.8981457314146681,0.9730863032642807
LMNA,TRAM-3,1.4853406112988876,0.40384615384615385,0.960451064784517
BGLAP,TRAM-3,1.4600358888203258,0.4237413556563947,0.960451064784517
C1orf61,TRAM-3,1.5384199147841258,0.5157012744310987,0.960451064784517
TTC24,TRAM-3,-0.9697853869529919,0.24334199958729463,0.960451064784517
SH2D2A,TRAM-3,0.9749759763175238,0.8667401860360882,0.9706173099465861
NTRK1,TRAM-3,0.2125446353801006,0.9290127047257105,0.9730863032642807
FCRL5,TRAM-3,1.5384199147841258,0.711364195025991,0.960451064784517
FCRL3,TRAM-3,2.712718047919529,0.32961648597866544,0.960451064784517
CD1A,TRAM-3,1.823619976420388,0.6173928954156714,0.960451064784517
CD1C,TRAM-3,0.1944655135667648,0.7113716187444238,0.960451064784517
CD1B,TRAM-3,0.5618788876081148,0.9290127047257105,0.9730863032642807
CD1E,TRAM-3,3.258734268400168,0.3985397755996585,0.960451064784517
PYHIN1,TRAM-3,1.646188617878054,0.7744545064789115,0.960451064784517
FCER1A,TRAM-3,3.234608371046087,0.314444794860529,0.960451064784517
FCRL6,TRAM-3,1.7015297786696328,0.43317280424477933,0.960451064784517
SLAMF6,TRAM-3,3.3493538390267474,0.08625840201441806,0.960451064784517
SLAMF1,TRAM-3,-0.9764750726891457,0.41766476377856865,0.960451064784517
CD48,TRAM-3,2.2917435942454922,0.18988509635241624,0.960451064784517
SLAMF7,TRAM-3,2.2066655482573303,0.4879219436086968,0.960451064784517
LY9,TRAM-3,-0.17696827844643243,0.6557582650257617,0.960451064784517
