variant,task,modality,metric,mean,std,count,mean_std,split,value
longitudinal_mk_no_alibi,cls,CT,bacc,,,,,2.0,0.6666666666666666
longitudinal_mk_no_alibi,cls,Clinical,bacc,,,,,2.0,0.5
longitudinal_mk_no_alibi,acr_surv,HE,c_index,,,,,2.0,0.6
longitudinal_mk_no_alibi,acr_surv,BAL,c_index,,,,,2.0,0.5686274509803921
longitudinal_mk_no_alibi,acr_surv,CT,c_index,,,,,2.0,0.5151515151515151
longitudinal_mk_no_alibi,acr_surv,Clinical,c_index,,,,,2.0,0.6521739130434783
longitudinal_mk_no_alibi,clad_surv,HE,c_index,,,,,2.0,0.5051546391752577
longitudinal_mk_no_alibi,clad_surv,BAL,c_index,,,,,2.0,0.6818181818181818
longitudinal_mk_no_alibi,clad_surv,CT,c_index,,,,,2.0,0.6086956521739131
longitudinal_mk_no_alibi,clad_surv,Clinical,c_index,,,,,2.0,0.3869346733668342
longitudinal_mk_no_alibi,death_surv,HE,c_index,,,,,2.0,0.360759493670886
longitudinal_mk_no_alibi,death_surv,BAL,c_index,,,,,2.0,0.4285714285714285
longitudinal_mk_no_alibi,death_surv,CT,c_index,,,,,2.0,0.8947368421052632
longitudinal_mk_no_alibi,death_surv,Clinical,c_index,,,,,2.0,0.6170212765957447
longitudinal_mk_mt_no_alibi,cls,HE,bacc,,,,,2.0,0.4666666666666667
longitudinal_mk_mt_no_alibi,cls,CT,bacc,,,,,2.0,0.5
longitudinal_mk_mt_no_alibi,cls,Clinical,bacc,,,,,2.0,0.5
longitudinal_mk_mt_no_alibi,acr_surv,HE,c_index,,,,,2.0,0.7130434782608696
longitudinal_mk_mt_no_alibi,acr_surv,BAL,c_index,,,,,2.0,0.4509803921568627
longitudinal_mk_mt_no_alibi,acr_surv,CT,c_index,,,,,2.0,0.6161616161616161
longitudinal_mk_mt_no_alibi,acr_surv,Clinical,c_index,,,,,2.0,0.3826086956521739
longitudinal_mk_mt_no_alibi,clad_surv,HE,c_index,,,,,2.0,0.4123711340206185
longitudinal_mk_mt_no_alibi,clad_surv,BAL,c_index,,,,,2.0,0.7272727272727273
longitudinal_mk_mt_no_alibi,clad_surv,CT,c_index,,,,,2.0,0.6014492753623188
longitudinal_mk_mt_no_alibi,clad_surv,Clinical,c_index,,,,,2.0,0.6432160804020101
longitudinal_mk_mt_no_alibi,death_surv,HE,c_index,,,,,2.0,0.4050632911392405
longitudinal_mk_mt_no_alibi,death_surv,BAL,c_index,,,,,2.0,0.4285714285714285
longitudinal_mk_mt_no_alibi,death_surv,CT,c_index,,,,,2.0,0.8533834586466166
longitudinal_mk_mt_no_alibi,death_surv,Clinical,c_index,,,,,2.0,0.4376899696048632
longitudinal_mk_no_alibi,cls,HE,bacc,,,,,1.0,0.4722222222222222
longitudinal_mk_no_alibi,cls,BAL,bacc,,,,,1.0,0.5
longitudinal_mk_no_alibi,cls,CT,bacc,,,,,1.0,0.9642857142857144
longitudinal_mk_no_alibi,cls,Clinical,bacc,,,,,1.0,0.5
longitudinal_mk_no_alibi,acr_surv,HE,c_index,,,,,1.0,0.6424242424242425
longitudinal_mk_no_alibi,acr_surv,BAL,c_index,,,,,1.0,0.2967032967032967
longitudinal_mk_no_alibi,acr_surv,CT,c_index,,,,,1.0,0.6222222222222222
longitudinal_mk_no_alibi,acr_surv,Clinical,c_index,,,,,1.0,0.5393939393939394
longitudinal_mk_no_alibi,clad_surv,HE,c_index,,,,,1.0,0.5447154471544715
longitudinal_mk_no_alibi,clad_surv,BAL,c_index,,,,,1.0,0.4444444444444444
longitudinal_mk_no_alibi,clad_surv,CT,c_index,,,,,1.0,0.4918032786885246
longitudinal_mk_no_alibi,clad_surv,Clinical,c_index,,,,,1.0,0.4366197183098591
longitudinal_mk_no_alibi,death_surv,HE,c_index,,,,,1.0,0.1470588235294117
longitudinal_mk_no_alibi,death_surv,BAL,c_index,,,,,1.0,0.75
longitudinal_mk_no_alibi,death_surv,CT,c_index,,,,,1.0,0.6265822784810127
longitudinal_mk_no_alibi,death_surv,Clinical,c_index,,,,,1.0,0.2972972972972973
longitudinal_mk_mt_no_alibi,cls,HE,bacc,,,,,1.0,0.4722222222222222
longitudinal_mk_mt_no_alibi,cls,BAL,bacc,,,,,1.0,0.5833333333333334
longitudinal_mk_mt_no_alibi,cls,CT,bacc,,,,,1.0,0.8928571428571428
longitudinal_mk_mt_no_alibi,cls,Clinical,bacc,,,,,1.0,0.5555555555555556
longitudinal_mk_mt_no_alibi,acr_surv,HE,c_index,,,,,1.0,0.6606060606060606
longitudinal_mk_mt_no_alibi,acr_surv,BAL,c_index,,,,,1.0,0.3516483516483517
longitudinal_mk_mt_no_alibi,acr_surv,CT,c_index,,,,,1.0,0.562962962962963
longitudinal_mk_mt_no_alibi,acr_surv,Clinical,c_index,,,,,1.0,0.6484848484848484
longitudinal_mk_mt_no_alibi,clad_surv,HE,c_index,,,,,1.0,0.4634146341463415
longitudinal_mk_mt_no_alibi,clad_surv,BAL,c_index,,,,,1.0,0.7777777777777778
longitudinal_mk_mt_no_alibi,clad_surv,CT,c_index,,,,,1.0,0.6639344262295082
longitudinal_mk_mt_no_alibi,clad_surv,Clinical,c_index,,,,,1.0,0.528169014084507
longitudinal_mk_mt_no_alibi,death_surv,HE,c_index,,,,,1.0,0.2647058823529412
longitudinal_mk_mt_no_alibi,death_surv,BAL,c_index,,,,,1.0,0.4375
longitudinal_mk_mt_no_alibi,death_surv,CT,c_index,,,,,1.0,0.4936708860759494
longitudinal_mk_mt_no_alibi,death_surv,Clinical,c_index,,,,,1.0,0.6036036036036037
longitudinal_mk_no_alibi,cls,HE,bacc,,,,,3.0,0.6710526315789473
longitudinal_mk_no_alibi,cls,CT,bacc,,,,,3.0,0.6875
longitudinal_mk_no_alibi,cls,Clinical,bacc,,,,,3.0,0.5263157894736842
longitudinal_mk_no_alibi,acr_surv,HE,c_index,,,,,3.0,0.7291666666666666
longitudinal_mk_no_alibi,acr_surv,BAL,c_index,,,,,3.0,0.3333333333333333
longitudinal_mk_no_alibi,acr_surv,CT,c_index,,,,,3.0,0.59
longitudinal_mk_no_alibi,acr_surv,Clinical,c_index,,,,,3.0,0.4270833333333333
longitudinal_mk_no_alibi,clad_surv,HE,c_index,,,,,3.0,0.525
longitudinal_mk_no_alibi,clad_surv,CT,c_index,,,,,3.0,0.4567901234567901
longitudinal_mk_no_alibi,clad_surv,Clinical,c_index,,,,,3.0,0.35
longitudinal_mk_no_alibi,death_surv,HE,c_index,,,,,3.0,0.4848484848484848
longitudinal_mk_no_alibi,death_surv,BAL,c_index,,,,,3.0,0.4444444444444444
longitudinal_mk_no_alibi,death_surv,CT,c_index,,,,,3.0,0.723404255319149
longitudinal_mk_no_alibi,death_surv,Clinical,c_index,,,,,3.0,0.5151515151515151
longitudinal_mk_mt_no_alibi,cls,HE,bacc,,,,,3.0,0.4210526315789473
longitudinal_mk_mt_no_alibi,cls,CT,bacc,,,,,3.0,0.6875
longitudinal_mk_mt_no_alibi,cls,Clinical,bacc,,,,,3.0,0.2368421052631578
longitudinal_mk_mt_no_alibi,acr_surv,HE,c_index,,,,,3.0,0.6770833333333334
longitudinal_mk_mt_no_alibi,acr_surv,BAL,c_index,,,,,3.0,0.6666666666666666
longitudinal_mk_mt_no_alibi,acr_surv,CT,c_index,,,,,3.0,0.63
longitudinal_mk_mt_no_alibi,acr_surv,Clinical,c_index,,,,,3.0,0.5104166666666666
longitudinal_mk_mt_no_alibi,clad_surv,HE,c_index,,,,,3.0,0.475
longitudinal_mk_mt_no_alibi,clad_surv,CT,c_index,,,,,3.0,0.3950617283950617
longitudinal_mk_mt_no_alibi,clad_surv,Clinical,c_index,,,,,3.0,0.4625
longitudinal_mk_mt_no_alibi,death_surv,HE,c_index,,,,,3.0,0.4393939393939394
longitudinal_mk_mt_no_alibi,death_surv,BAL,c_index,,,,,3.0,0.1111111111111111
longitudinal_mk_mt_no_alibi,death_surv,CT,c_index,,,,,3.0,0.7163120567375887
longitudinal_mk_mt_no_alibi,death_surv,Clinical,c_index,,,,,3.0,0.7070707070707071
longitudinal_mk_no_alibi,cls,HE,bacc,,,,,0.0,0.5
longitudinal_mk_no_alibi,cls,BAL,bacc,,,,,0.0,0.125
longitudinal_mk_no_alibi,cls,CT,bacc,,,,,0.0,0.46153846153846156
longitudinal_mk_no_alibi,cls,Clinical,bacc,,,,,0.0,0.5
