split,variant,task,modality,metric,value,n,auc
2,longitudinal_mk_no_alibi,death_surv,Clinical,c_index,0.4689469948192018,796,
2,middle,acr_surv,HE,c_index,0.7443627450980392,212,
2,middle,acr_surv,BAL,c_index,0.525,37,
2,middle,acr_surv,CT,c_index,0.6201387884921209,526,
2,middle,acr_surv,Clinical,c_index,0.6854130052724078,870,
2,middle,clad_surv,HE,c_index,0.35257847533632286,104,
2,middle,clad_surv,BAL,c_index,0.37777777777777777,20,
2,middle,clad_surv,CT,c_index,0.5882419961262391,367,
2,middle,clad_surv,Clinical,c_index,0.607810971047027,594,
2,middle,cls,HE,bacc,0.6053479381443299,113,0.6797680412371134
2,middle,cls,BAL,bacc,0.49090909090909096,16,0.43636363636363634
2,middle,cls,CT,bacc,0.5870681605975724,137,0.6092436974789917
2,middle,cls,Clinical,bacc,0.49942528735632186,262,0.6908764367816091
2,middle,death_surv,HE,c_index,0.6113789778206364,108,
2,middle,death_surv,BAL,c_index,0.6551724137931034,24,
2,middle,death_surv,CT,c_index,0.7012393998695369,422,
2,middle,death_surv,Clinical,c_index,0.5554751900071181,659,
2,set_mil_mt,acr_surv,HE,c_index,0.4892156862745098,212,
2,set_mil_mt,acr_surv,BAL,c_index,0.39166666666666666,37,
2,set_mil_mt,acr_surv,CT,c_index,0.5,526,
2,set_mil_mt,acr_surv,Clinical,c_index,0.5,870,
2,set_mil_mt,clad_surv,HE,c_index,0.3806053811659193,104,
2,set_mil_mt,clad_surv,BAL,c_index,0.6,20,
2,set_mil_mt,clad_surv,CT,c_index,0.4598951805856215,367,
2,set_mil_mt,clad_surv,Clinical,c_index,0.7839463535370979,594,
2,set_mil_mt,cls,HE,bacc,0.7348582474226804,113,0.8472938144329897
2,set_mil_mt,cls,BAL,bacc,0.5,16,0.32727272727272727
2,set_mil_mt,cls,CT,bacc,0.5354808590102708,137,0.5490196078431373
2,set_mil_mt,cls,Clinical,bacc,0.5,262,0.6723419540229886
2,set_mil_mt,death_surv,HE,c_index,0.5814850530376084,108,
2,set_mil_mt,death_surv,BAL,c_index,0.6896551724137931,24,
2,set_mil_mt,death_surv,CT,c_index,0.6541445345261392,422,
2,set_mil_mt,death_surv,Clinical,c_index,0.5799637206952768,659,
2,set_mil_mt_no_sab,acr_surv,HE,c_index,0.7318627450980392,212,
2,set_mil_mt_no_sab,acr_surv,BAL,c_index,0.475,37,
